x,y
-51.8688600425546,0.6159875273669835
-51.368866652251214,0.618558451890264
-50.86887326194781,0.6211293764135445
-50.36887987164441,0.6237003009368249
-49.868886481341,0.6262712254601055
-49.36889309103759,0.6288421499833857
-48.86889970073418,0.6314130745066661
-48.36890631043077,0.6339839990299465
-47.86891292012737,0.636554923553227
-47.36891952982396,0.6391258480765073
-46.868926139520546,0.6416967725997877
-46.368932749217144,0.6442676971230681
-45.868939358913735,0.6468386216463485
-45.368945968610326,0.6494095461696289
-44.86895257830692,0.6519804706929092
-44.36895918800351,0.6545513952161897
-43.86896579770011,0.6571223197394702
-43.3689724073967,0.659693244262751
-42.86897901709329,0.6622641687860316
-42.368985626789886,0.6648350933093116
-41.868987100621084,0.6669540732909943
-41.36900787840681,0.6707891326179487
-40.869029895803486,0.676470283039354
-40.36920451813309,0.688694355569967
-39.869533928962646,0.7064101230511199
-39.37023547102558,0.732774110609351
-38.87124261796116,0.764110796968034
-38.37282694724831,0.803802396773144
-37.87489117901558,0.848873349648411
-37.37771238400983,0.9018455554726945
-36.88121035258652,0.9606164849581659
-36.3856219678578,1.0268315949301683
-35.890929243751735,1.099257915299289
-35.397283673966385,1.1786688248686783
-34.90477446560445,1.2646956879648126
-34.41342273566709,1.3572459233127234
-33.92346960979785,1.456808259566861
-33.434761115970375,1.5624320176501896
-32.9596159134173,1.6733010273955404
-32.43494545346306,1.7992684943003765
-31.85495760428547,1.9417340787115105
-31.25771344590485,2.0934338240584207
-30.714192489535606,2.244064834742674
-30.205426366305275,2.3976457345211135
-29.728092290892892,2.5556345062266796
-29.278867477977503,2.7194891326923116
-28.85442914223814,2.890667596750949
-28.451454498353844,3.0706278812355317
-28.066620761003655,3.2608279689790005
-27.696605144866616,3.4627258428142933
-27.338084864621752,3.677779485574351
-26.98773713494812,3.907446880092113
-26.642239170524746,4.153186009200519
-26.298268186030672,4.416454855732509
-25.95250139614494,4.698711402521022
-25.60161601554658,5.0014136323989975
-25.242289258914642,5.326019528199377
-24.871198340928153,5.673987072755099
-24.48502047626617,6.046774248899104
-24.08043287960771,6.445839039464332
-23.642831144358578,6.883590339566453
-23.222684193529417,7.309581466160523
-22.8461477043675,7.696240047882353
-22.504363985925558,8.044344742164617
-22.150020160363457,8.397093013076063
-21.79006725662829,8.744118412569934
-21.42455876428491,9.085204344131675
-21.052352576485614,9.419053128332243
-20.674440055933914,9.746408351425348
-20.28869109467167,10.06444385468577
-19.89632820702903,10.374341179612315
-19.499021511624797,10.677906380114102
-19.098030289022542,10.97652732597032
-18.693452347934233,11.270333113065693
-18.287362612780772,11.562038349075422
-17.881620254949027,11.854221348620047
-17.47648227218542,12.14724670385749
-17.072345808732287,12.441647458996119
-16.669962808465492,12.738424575697229
-16.271262745928286,13.040116212498313
-15.876230193293868,13.34661687202103
-15.484431036913586,13.657238829429486
-15.095417625925268,13.97133993739378
-14.709060520727368,14.288714120957973
-14.324515363887613,14.608279655434785
-13.941128248549532,14.929241265155692
